"Q12" "Q1" "Q13" "Q22" "Q24" "Q27" "Q30" "Q32" "Q34" "Q37" "Q40" "Q41" "Q43" "Q44" "V1" "P" "PJ_ONU" "PJ_CNJ" "PM" "PMJ_ONU" "PMJ_CNJ" "fvl" "Tot_DR" "até_5" "X5_a_10" "X10_a_20" "X20_" "RM_DOM" "S_RM_DOM" "perc_5" "perc5_a_10" "perc10_a_20" "perc20_" "Total_EF" "P2000" "EF_P" "Q70" "Q71" "Q73" "Q74" "Q75" "Q76" "Q77" "Q78" "Q79" "Km2" "AC_1" "AC_2" "AC_3" "AC_4" "AC_5" "AC_6" "AC_7" "AC_8" "AC_9" "AC_10" "AC_11" "AC_12" "AC_14" "AC_15" "AC_99" "AC_ResBP" "AC_nRes" "Seccional"
"35" 21 2013 "VILA_MATILDE" 9 11 292 0 20 20 10 432 1249 726 1249 9 105237 49371 14999 23911 7660 12081 196 32108 18113 8684 4344 967 6.221 10.55 0.564 0.27 0.135 0.03 16893 104931 0.161 1046 57 131 64 67 7 0 0 14 8.9 638274 1737596 138339 493965 38624 707820 52122 113398 55702 29663 69922 89501 13887 6351 60019 712180 1124479 "5 LESTE"
"36" 21 2003 "VILA_MATILDE" 14 14 331 2 12 10 44 886 1334 1005 1304 16 103803 17787 26620 48845 8811 13089 0 29904.952 9732.307 8526.746 7305.751 4340.147 10.245 8.773 0.325 0.285 0.244 0.145 9526 103007 0.092 1045 182 384 185 276 55 47 0 129 8.9 594370 1531329 133105 281402 51530 676450 46531 125895 36290 20165 66005 75561 2804 5885 41126 638300 1052782 "5 LESTE"
"37" 22 2013 "SÃO_MIGUEL_PAULISTA" 11 14 395 4 39 66 15 854 1569 518 1902 17 90919 43360 14975 23039 7461 11392 717 26110 19506 5006 1388 210 4.304 11.792 0.747 0.192 0.053 0.008 12720 92124 0.138 799 163 232 195 222 42 15 2 30 7.65 906554 775333 49650 28119 9356 678499 90480 100253 9057 47929 72189 69860 40180 3092 30566 977300 1071359 "7 ITAQUERA"
"38" 22 2003 "SÃO_MIGUEL_PAULISTA" 40 31 233 4 5 25 64 669 2116 428 1743 60 96491 18049 26715 46209 8860 13137 895 26726.946 12799.432 7559.395 4432.596 1935.523 7.617 9.784 0.479 0.283 0.166 0.072 7503 97441 0.077 1063 269 319 305 370 44 11 0 144 7.65 866857 768558 61075 16157 1678 672818 63927 132730 11341 36032 58707 62429 20789 3656 38384 926030 1041640 "7 ITAQUERA"
"39" 23 2013 "PERDIZES" 5 7 386 1 16 12 7 311 1644 1331 4901 2 127457 57814 13709 24828 6874 12111 70 47339 10379 11066 13097 12797 13.209 8.508 0.219 0.234 0.277 0.27 151576 125458 1.208 1444 84 66 197 186 113 0 0 8 12.2 277869 873223 539486 3887000 3445352 1274093 1251258 467261 180022 336488 382162 309538 47972 27095 156800 482641 4227917 "3 OESTE"
"40" 23 2003 "PERDIZES" 9 13 349 0 10 36 38 369 2215 1361 3009 12 118554 18516 28930 53285 8933 13632 0 40079.941 3714.134 5668.24 8495.902 22201.665 18.32 10.284 0.093 0.141 0.212 0.554 77235 115513 0.669 1945 390 323 433 491 114 0 0 84 12.2 282373 908812 562428 3211922 2045511 1190369 879062 520858 192150 156297 147287 305869 44682 25841 129909 456964 3417733 "3 OESTE"
"41" 24 2013 "PONTE_RASA" 10 17 640 0 36 91 22 486 1413 736 1718 8 92545 43564 14024 22138 7046 11003 1104 27190 17626 6670 2400 494 5.239 11.163 0.648 0.245 0.088 0.018 9055 93929 0.096 1575 701 779 773 938 97 56 0 115 6.55 814307 1091243 32642 198484 0 517534 41388 62271 14764 13598 43925 40684 44901 964 28598 887806 735128 "7 ITAQUERA"
"42" 24 2003 "PONTE_RASA" 35 33 440 0 20 27 56 831 2085 805 1955 39 97231 17673 26165 46256 8726 12836 519 27646.466 9901.397 8487.744 5995.465 3261.86 9.4 9.027 0.358 0.307 0.217 0.118 6114 98172 0.062 1046 283 465 320 348 84 54 0 160 6.55 759352 984216 33007 123436 0 481346 36481 58876 12638 12985 39653 29925 42188 883 12717 814257 672787 "7 ITAQUERA"
"43" 25 2013 "PARELHEIROS" 43 22 420 0 59 116 10 223 627 136 916 47 146096 71765 27994 40853 13989 20336 4005 35952 31317 3889 639 107 3.33 12.489 0.871 0.108 0.018 0.003 5216 139172 0.037 730 120 231 178 201 21 1 0 7 360.6 438672 120051 15486 0 0 94862 0 37062 5720 8390 6874 13845 0 355 3071 441743 167108 "6 SANTO AMARO"
"44" 25 2003 "PARELHEIROS" 134 56 236 2 14 15 58 171 632 79 742 109 119602 23899 34805 59470 11794 17091 3824 28270.081 18397.22 7160.325 2266.526 446.009 5.124 11.238 0.651 0.253 0.08 0.016 2759 110654 0.025 588 155 214 186 208 32 2 0 128 360.6 380947 92393 11801 0 0 78708 0 36001 5006 5860 7494 8557 0 0 1980 382927 141626 "6 SANTO AMARO"
