"Ano" "Distrito" "Dpol" "Seccional" "homic" "roubovcl" "furtovcl" "jov1524" "baixopadrao" "rendamedia" "dprendamedia" "favela" "eformais" "mandato"
"38" 2003 "SÃO_MIGUEL_PAULISTA" 22 "7 ITAQUERA" 41.4546434382481 693.3289115047 443.564684789255 0.0918220352157196 926.03 7.617 9.784 927.547646930802 0.077 45.6001077820729
"39" 2013 "PERDIZES" 23 "3 OESTE" 3.92289164188707 244.003860125376 1044.27375507034 0.0539319142926634 482.641 13.209 8.508 54.9204829864189 1.208 88.6573511066477
"40" 2003 "PERDIZES" 23 "3 OESTE" 7.59147730148287 311.250569360798 1148.0000674798 0.0753496297046072 456.964 18.32 10.284 0 0.669 96.1587124854497
"41" 2013 "PONTE_RASA" 24 "7 ITAQUERA" 10.8055540547842 525.14992706251 795.288778432114 0.0761359338700092 887.806 5.239 11.163 1192.93316764817 0.096 104.813874331406
"42" 2003 "PONTE_RASA" 24 "7 ITAQUERA" 35.9967500077136 854.665693040286 827.925250177413 0.0897450401620882 814.257 9.4 9.027 533.78037868581 0.062 86.3922000185126
"43" 2013 "PARELHEIROS" 25 "6 SANTO AMARO" 29.4327017851276 152.639360420545 93.0894754134268 0.0957521082028255 441.743 3.33 12.489 2741.34815463805 0.037 14.3741101741321
"44" 2003 "PARELHEIROS" 25 "6 SANTO AMARO" 112.038260229762 142.97419775589 66.0524071503821 0.0986103911305831 382.927 5.124 11.238 3197.27094864634 0.025 26.7554054280029
"45" 2013 "CAMPO_BELO" 27 "2 SUL" 15.3355416513311 1326.52435284014 820.451478346215 0.0519568151147098 199.134 13.342 8.52 2628.51183903815 1.122 29.1375291375291
"46" 2003 "CAMPO_BELO" 27 "2 SUL" 24.050024050024 1354.31697931698 1973.6050986051 0.0749007936507936 178.596 17.562 9.874 1348.30447330447 1.839 75.1563251563252
"47" 2013 "FREGUESIA_DO_Ó" 28 "4 OESTE" 7.76238629868251 586.413001291379 301.321722685221 0.0729029207742627 884.147 6.182 10.573 1215.87196296636 0.21 2.82268592679364
"48" 2003 "FREGUESIA_DO_Ó" 28 "4 OESTE" 18.6620034697503 268.179901713448 407.799335079728 0.0868405228125713 779.502 10.288 8.762 1119.02902287132 0.14 49.7653425860007
"49" 2013 "VILA_DIVA" 29 "5 LESTE" 2.37042655825916 259.561708129378 565.346734144809 0.0621288800919726 558.569 7.76 9.713 0 0.262 8.29649295390706
"50" 2003 "VILA_DIVA" 29 "5 LESTE" 9.32672690177791 679.685222967065 641.212474497231 0.0780763625765083 525.121 12.185 8.484 0 0.193 29.146021568056
"51" 2013 "VILA_CARRÃO" 31 "5 LESTE" 3.57291728696481 198.892395641041 456.142440302507 0.0683499076996368 546.026 7.44 9.873 819.389031143929 0.299 69.0764008813196
"52" 2003 "VILA_CARRÃO" 31 "5 LESTE" 0 473.067681217461 773.428113736484 0.0792075490588706 534.853 11.762 8.51 1067.53103724469 0.202 53.8145774929916
"53" 2003 "PIRITUBA" 33 "3 OESTE" 21.0978205034123 435.715858222646 441.219637484406 0.0888034783884934 698.239 10.468 8.718 3615.06567843252 0.223 39.4437513759448
"54" 2013 "PIRITUBA" 33 "3 OESTE" 4.54801797376703 582.14630064218 863.213811420983 0.0726682311848496 755.916 6.089 10.629 3407.37506594626 0.38 166.457457839873
